calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
1400,-0.002885320008791521,0.010122324088729985,-0.002885320008791521,-0.002885320008791521,0.010122324088729985,0.010122324088729985,-0.017246250493272774,-0.05839992584902412,-2.486311880344379E-10,-0.017059260327079332,-0.01665976423081656,-0.05776673245754153,-0.05641394320008403,-2.45935437605116E-10,-2.4017608782252546E-10,1.0860204658886468
1500,-0.0028884580145169154,0.010108386825005297,-0.0028884580145169154,-0.0028884580145169154,0.010108386825005297,0.010108386825005297,-0.017211385221880187,-0.05845205536978738,-2.5024591132465594E-10,-0.01702469224229244,-0.016627126255772662,-0.05781802224349718,-0.05646783753973169,-2.4753147816238735E-10,-2.4175104495926256E-10,1.086312659105721
1600,-0.002891604361880343,0.010094500916508108,-0.002891604361880343,-0.002891604361880343,0.010094500916508108,0.010094500916508108,-0.017176678117074663,-0.05850424011937336,-2.5187564291768655E-10,-0.01699028072418718,-0.0165946345564438,-0.05786936545054701,-0.056521783674711154,-2.4914234589414593E-10,-2.4334066339249734E-10,1.0866046482246046
1700,-0.0028947590690943156,0.010080666069500612,-0.0028947590690943156,-0.0028947590690943156,0.010080666069500612,0.010080666069500612,-0.017142128319121985,-0.05855648037432615,-2.5352055515488953E-10,-0.016956024920444592,-0.016562288354156292,-0.05792076234623905,-0.056575781892977794,-2.507682109844008E-10,-2.449451118328888E-10,1.0868964380366313
1800,-0.0028979221546088355,0.01006688199149592,-0.0028979221546088355,-0.0028979221546088355,0.01006688199149592,0.01006688199149592,-0.017107734973140117,-0.0586087764116564,-2.551808227104644E-10,-0.016921923983553883,-0.01653008687451521,-0.05797221319854921,-0.05662983248307205,-2.524092459198662E-10,-2.465645612780965E-10,1.087188033321201
1900,-0.002901093637110765,0.010053148391250684,-0.002901093637110765,-0.002901093637110765,0.010053148391250684,0.010053148391250684,-0.01707349722908035,-0.058661128508836834,-2.5685662262182466E-10,-0.016887977070793706,-0.016498029347389285,-0.058023718275876685,-0.056683935734114024,-2.5406562551991805E-10,-2.481991850426777E-10,1.08747943884592
2000,-0.002904273535523063,0.010039464978758236,-0.002904273535523063,-0.002904273535523063,0.010039464978758236,0.010039464978758236,-0.017039414241708604,-0.058713536943798834,-2.585481343203722E-10,-0.016854183344213593,-0.01646611500689596,-0.05807527784704036,-0.05673809193579905,-2.557375269669459E-10,-2.498491587883798E-10,1.087770659366743
2100,-0.002907461869004285,0.010025831465240963,-0.002907461869004285,-0.002907461869004285,0.010025831465240963,0.010025831465240963,-0.017005485170586213,-0.058766001994928,-2.6025553967730027E-10,-0.01682054197061487,-0.016434343091385903,-0.058126892181274294,-0.05679230137839241,-2.57425129851567E-10,-2.515146605689644E-10,1.0880616996281158
2200,-0.002910658656947684,0.01001224756314325,-0.002910658656947684,-0.002910658656947684,0.01001224756314325,0.01001224756314325,-0.016971709180050962,-0.058818523941061567,-2.619790230442281E-10,-0.01678705212153185,-0.01640271284342778,-0.05817856154822497,-0.05684656435272584,-2.591286162127276E-10,-2.531958708700498E-10,1.0883525643631191
2300,-0.0029138639189807314,0.009998712986123743,-0.0029138639189807314,-0.0029138639189807314,0.009998712986123743,0.009998712986123743,-0.01693808543919776,-0.05887110306148395,-2.637187712797103E-10,-0.016753712973212632,-0.016371223509792657,-0.05823028621794674,-0.056900881150192185,-2.608481705638297E-10,-2.5489297263531283E-10,1.0886432582936132
