calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
1400,-4.185719993919847,2.3996679831853087,0.017824491551697234,8.681287937056299,4.6156484697015365,-3.6687139339750328,-6.362255213040939,3.9961582123255197,-9.796172834462473,-0.0022919177359687444,-3.694903930077268,4.607399878993407,-4.185161203035898,8.680938498501932,2.347787395732147,1.0860204658886468
1500,-4.185911602689349,2.4000461386972547,0.017609092102920703,8.681257117425659,4.61564507332051,-3.667244779243068,-6.3627685492699895,3.9969398895147776,-9.797952813287699,-0.003907032077460575,-3.6953004803803684,4.606797579772663,-4.185312670168147,8.680882010831784,2.344389795775443,1.086312659105721
1600,-4.186103656069217,2.400424100814276,0.01739321004933635,8.681226267957639,4.615641674016525,-3.665776363599547,-6.363280009320177,3.99772199642224,-9.799737098267395,-0.005517176190915075,-3.6956964103550805,4.606194188880489,-4.185464564927617,8.68082540828894,2.340983883709446,1.0866046482246046
1700,-4.186296155834228,2.400801871381912,0.017176843661497247,8.681195388234707,4.615638271792855,-3.664308682138729,-6.363789597463273,3.9985045326121442,-9.801525706324032,-0.007122364306778555,-3.6960917203393207,4.605589703401214,-4.1856168887583225,8.680768690459846,2.337569626824551,1.0868964380366313
1800,-4.1864891037638134,2.4011794522775856,0.016959991204177922,8.681164477840309,4.615634866652917,-3.662841729916845,-6.364297317977079,3.9992874976481367,-9.80331865444929,-0.008722610635785012,-3.6964864106785744,4.604984120407736,-4.185769643110547,8.680711856929616,2.3341469922762665,1.087188033321201
1900,-4.186682501642049,2.4015568454105605,0.016742650936391792,8.681133536358876,4.6156314586002765,-3.661375501952329,-6.3648031751450675,4.000070891093243,-9.805115959704098,-0.01031792936845351,-3.6968804817257945,4.604377436961448,-4.1859228294408934,8.68065490728202,2.330715947085132,1.08747943884592
2000,-4.18687635125762,2.4019340527218853,0.016524821111409474,8.68110256337578,4.615628047638651,-3.6599099932260675,-6.36530717325606,4.000854712509826,-9.806917639218666,-0.011908334674593991,-3.6972739338412857,4.603769650112138,-4.186076449212346,8.6805978410995,2.327276458136644,1.087770659366743
2100,-4.1870706544038185,2.402311076184352,0.016306499976778226,8.681071558477345,4.615624633771912,-3.6584451986816324,-6.36580931660388,4.00163896145955,-9.808723710192483,-0.01349384070282139,-3.6976667673926036,4.60316075689791,-4.186230503894308,8.68054065796317,2.3238284921811934,1.0880616996281158
2200,-4.187265412878514,2.402687917802457,0.016087685774342362,8.681040521250805,4.61562121700408,-3.656981113225513,-6.366309609487018,4.002423637503341,-9.810534189894366,-0.01507446158007803,-3.6980589827544392,4.602550754345074,-4.186384994962659,8.680483357452825,2.320372015834023,1.0883525643631191
2300,-4.187460628484141,2.4030645796123515,0.015868376740264745,8.68100945128432,4.6156177973393335,-3.6555177317273393,-6.366808056208322,4.003208740201357,-9.81234909566245,-0.01665021141116411,-3.6984505803085175,4.601939639468075,-4.186539923899811,8.680425939146952,2.316906995575194,1.0886432582936132
2400,-4.187656303027662,2.4034410636818184,0.01564857110504943,8.680978348166937,4.615614374782015,-3.6540550490201187,-6.3673046610746535,4.003994269112938,-9.814168444904174,-0.018221104278276307,-3.6988415604434906,4.601327409269379,-4.186695292194758,8.680368402622713,2.313433397749569,1.0889337861303798
2500,-4.187852438320564,2.4038173721102285,0.015428267093565292,8.680947211488599,4.615610949336624,-3.6525930599004495,-6.367799428396583,4.004780223796568,-9.815992255096296,-0.019787154240554307,-3.699231923554826,4.600714060739404,-4.186851101343118,8.680310747455987,2.3099511885668056,1.0892241525732662
2600,-4.188049036178818,2.40419350702851,0.015207462925070928,8.680916040840112,4.6156075210078225,-3.651131759128744,-6.368292362488072,4.005566603809843,-9.817820543784874,-0.021348375333635337,-3.6996216700447095,4.600099590856394,-4.187007352847205,8.680252973221327,2.3064603341013723,1.0895143623113321
2700,-4.188246098422855,2.404569470599126,0.01498615681324064,8.680884835813133,4.615604089800443,-3.6496711414294394,-6.368783467666167,4.006353408709428,-9.819653328585218,-0.022904781569216354,-3.700010800321935,4.599483996586349,-4.187164048216068,8.680195079492023,2.302960800292573,1.089804420022994
2800,-4.188443626877555,2.4049452650160483,0.014764346966191636,8.680853596000166,4.615600655719485,-3.6482112014912116,-6.369272748250685,4.007140638051009,-9.821490627181877,-0.024456386934624083,-3.700399314801811,4.598867274882921,-4.187321188965555,8.68013706584006,2.299452552944593,1.0900943303761699
2900,-4.188641623372202,2.4053208925047325,0.014542031586512412,8.680822320994539,4.615597218770115,-3.6467519339671832,-6.369760208563926,4.007928291389266,-9.823332457328595,-0.02600320539239268,-3.700787213906041,4.598249422687318,-4.187478776618363,8.680078931836157,2.2959355577265548,1.0903840980284254
3000,-4.188840089740462,2.4056963553221014,0.0143192088712924,8.680791010390388,4.615593778957681,-3.64529333347513,-6.370245852930368,4.008716368277821,-9.825178836848268,-0.027545250879848868,-3.7011744980626404,4.597630436928205,-4.1876368127040875,8.68002067704975,2.2924097801725996,1.0906737276271194
3100,-4.1890390278203515,2.40607165575653,0.014095877012152855,8.680759663782657,4.615590336287701,-3.643835394597675,-6.3707296856763715,4.009504868269199,-9.827029783632863,-0.02908253730870465,-3.701561167705823,4.597010314521608,-4.1877952987592915,8.679962301049022,2.2888751856819742,1.0909632238095535
3200,-4.189238439454208,2.4064467961278284,0.013872034195279052,8.680728280767063,4.615586890765871,-3.6423781118824925,-6.371211711129902,4.010293790914789,-9.828885315643367,-0.030615078564657384,-3.7019472232759036,4.596389052370812,-4.187954236327551,8.679903803400885,2.28533173951915,1.091252591203116
3300,-4.189438326488659,2.406821778787235,0.013647678601453786,8.680696860940103,4.615583442398072,-3.6409214798425005,-6.3716919336202364,4.011083135764792,-9.830745450909713,-0.03214288850699712,-3.7023326652192035,4.595766647366268,-4.188113626959511,8.679845183671016,2.281779406813945,1.0915418344254273
3400,-4.189638690774581,2.4071966061174104,0.013422808406092203,8.680665403899006,4.615579991190363,-3.639465492956049,-6.372170357477686,4.011872902368192,-9.832610207530676,-0.03366598096822123,-3.702717493987943,4.595143096385491,-4.188273472212954,8.679786441423849,2.2782181525616747,1.0918309580844934
3500,-4.189839534167071,2.407571280532429,0.013197421779278027,8.680633909241758,4.615576537148997,-3.6380101456671086,-6.3726469870333196,4.012663090272707,-9.834479603673786,-0.0351843697536561,-3.7031017100401487,4.594518396292951,-4.188433773652845,8.679727576222584,2.2746479416233156,1.0921199667788495
3600,-4.190040858525409,2.4079458044777855,0.012971516885801173,8.680602376567066,4.6155730802804085,-3.636555432385454,-6.373121826618693,4.0134536990247405,-9.836353657575224,-0.03669806864108607,-3.7034853138395567,4.593892543939986,-4.188594532851395,8.679668587629202,2.271068738725689,1.0924088650977082
3700,-4.190242665713015,2.4083201804303895,0.012745091885196787,8.680570805474344,4.615569620591229,-3.635101347486842,-6.373594880565571,4.014244728169341,-9.838232387539705,-0.03820709138038903,-3.703868305855514,4.593265536164683,-4.1887557513881175,8.679609475204472,2.2674805084616745,1.0926976576211098
3800,-4.190444957597425,2.408694410898575,0.012518144931785732,8.6805391955637,4.615566158088283,-3.6336478853131893,-6.374066153205685,4.015036177250157,-9.840115811940334,-0.039711451693179356,-3.7042506865628813,4.592637369791791,-4.188917430849886,8.679550238507943,2.2638832152904254,1.0929863489200704
3900,-4.190647736050227,2.409068498422104,0.012290674174716586,8.680507546435924,4.615562692778592,-3.6321950401727428,-6.374535648870445,4.015828045809397,-9.842003949218489,-0.04121116327245716,-3.704632456441941,4.59200804163261,-4.189079572831004,8.679490877097988,2.260276823537617,1.0932749435567293
4000,-4.190851002947039,2.4094424455721883,0.01206267775800914,8.680475857692464,4.615559224669371,-3.6307428063402543,-6.3750033718907035,4.0166203333877695,-9.843896817883653,-0.04270623978226479,-3.7050136159782987,4.591377548484884,-4.189242178933253,8.679431390531796,2.2566612973957154,1.0935634460845027
4100,-4.191054760167454,2.4098162549514925,0.011834153820599439,8.680444128935427,4.615555753768049,-3.629291178057141,-6.375469326596493,4.017413039524455,-9.845794436513268,-0.04419669485734962,-3.705394165662796,4.590745887132695,-4.189405250765954,8.679371778365375,2.2530366009242657,1.0938518610482288
4200,-4.191259009594998,2.4101899291941535,0.01160510049638643,8.68041235976755,4.615552280082253,-3.6278401495316492,-6.375933517316773,4.018206163757051,-9.847696823752557,-0.04568254210283357,-3.70577410599141,4.590113054346369,-4.189568789946034,8.679312040153565,2.249402698050202,1.094140192984321
4300,-4.191463753117089,2.410563470965809,0.01137551591428017,8.68038054979219,4.615548803619818,-3.626389714939013,-6.376395948379198,4.0189997056215185,-9.849603998314329,-0.04716379509388918,-3.706153437465165,4.589479046882353,-4.189732798098089,8.679252175450069,2.2457595525681793,1.0944284464209162
4400,-4.191668992624974,2.4109368829636124,0.011145398198251735,8.68034869861331,4.615545324388796,-3.6249398684216096,-6.376856624109857,4.0197936646521475,-9.851515978978794,-0.048640467375422054,-3.70653216059004,4.588843861483113,-4.189897276854441,8.679192183807446,2.24210712814093,1.0947166258780288
4500,-4.1918747300137005,2.4113101679162607,0.010914745467384756,8.68031680583546,4.615541842397451,-3.6234906040891115,-6.377315548833052,4.0205880403815035,-9.853432784593368,-0.050112572461759534,-3.706910275876879,4.588207494877035,-4.190062227855198,8.67913206477713,2.2384453882996467,1.0950047358676955
4600,-4.192080967182046,2.411683328584032,0.0106835558359287,8.680284871063762,4.615538357654259,-3.6220419160186337,-6.3777727268710525,4.021382832340374,-9.855354434072407,-0.05158012383634594,-3.7072877838412976,4.587569943778301,-4.190227652748326,8.679071817909431,2.234774296444385,1.0952927808941333
4700,-4.1922877060324755,2.41205636775881,0.010451827413353883,8.680252893903909,4.615534870167921,-3.6205937982548786,-6.378228162543869,4.022178040057729,-9.85728094639702,-0.05304313495144381,-3.7076646850035972,4.586931204886788,-4.190393553189704,8.679011442753568,2.2310938158444884,1.0955807654538858
4800,-4.192494948471078,2.4124292882641214,0.01021955830440825,8.680220873962128,4.615531379947364,-3.619146244810276,-6.378681860169019,4.022973663060666,-9.859212340614802,-0.05450161922784119,-3.708040979888672,4.58629127488795,-4.190559930843199,8.678950938857666,2.227403909639048,1.0958686940359796
4900,-4.1927026964075225,2.4128020929551797,0.009986746609175975,8.680188810845173,4.615527887001733,-3.6176992496651215,-6.379133824061311,4.023769700874366,-9.861148635839557,-0.05595559005456518,-3.708416669025928,4.585650150452715,-4.190726787380722,8.678890305768775,2.2237045408373803,1.0961565711220722
