in1,in2,out1,targ1,cost
0,0,0.41794778634511814,0,0.17468035211078453
0,1,0.5777731134835532,1,0.17827554369737245
1,0,0.5354598389219908,1,0.21579756125438274
1,1,0.6432970942777042,0,0.4138311515061375
0,0,0.41642410783496697,0,0.1734090375861482
0,1,0.5776947664674409,1,0.1783417102689893
1,0,0.5351244155381772,1,0.2161093090287213
1,1,0.6435725619916876,0,0.4141856425485445
0,0,0.4113077309355919,0,0.16917404952738527
0,1,0.5747298673116392,1,0.180854685756776
1,0,0.5316969325288223,1,0.21930776300291438
1,1,0.6413105413548337,0,0.41127921045282984
0,0,0.41972678766410076,0,0.17617057628282512
0,1,0.5803446312453598,1,0.176110628524593
1,0,0.5379634383851508,1,0.21347778426887232
1,1,0.6458998147284473,0,0.4171865706662425
0,0,0.40758238443571415,0,0.16612340010230228
0,1,0.5717027066713236,1,0.18343857147267026
1,0,0.5284566684371641,1,0.2223531135413786
1,1,0.6386440852097871,0,0.4078662675734458
0,0,0.42282505835045336,0,0.17878102996906428
0,1,0.5828076809208099,1,0.17404943109867274
1,0,0.5406047962811779,1,0.2110439531998581
1,1,0.648058020447056,0,0.4199791978657568
0,0,0.4037302174053197,0,0.16299808844614672
0,1,0.5685494271700646,1,0.18614959679527937
1,0,0.5250842392608958,1,0.2255449797984021
1,1,0.6358612999761152,0,0.4043195928073151
0,0,0.42570667898832104,0,0.18122617653526543
0,1,0.5850751692470418,1,0.172162615175371
1,0,0.5430388933044163,1,0.20881345303245258
1,1,0.6500398312450889,0,0.42255178220514367
0,0,0.3997692673251768,0,0.1598154670977087
0,1,0.565284130249988,1,0.18897788741250937
1,0,0.5215949064288585,1,0.22887143355481263
1,1,0.6329743699569869,0,0.40065655302244446
0,0,0.4283604859786864,0,0.1834927059478964
0,1,0.5871392349003701,1,0.17045401135865176
1,0,0.5452570909235038,1,0.20679111335535447
1,1,0.6518386667728042,0,0.4248936475001469
0,0,0.39571789158049936,0,0.15659264971691583
0,1,0.5619213128160931,1,0.1919129361647753
1,0,0.5180043357292466,1,0.2323198203758048
1,1,0.629995857617557,0,0.3968947806152812
0,0,0.4307764128605865,0,0.18556831787703446
0,1,0.5889929004087987,1,0.16892683591437166
1,0,0.5472517102503291,1,0.20498101387125192
1,1,0.6534487084893834,0,0.4269952146264432
0,0,0.3915946943713148,0,0.15334640465976343
0,1,0.5584758219990007,1,0.1949435997594581
1,0,0.5143285452568607,1,0.23587676195231724
1,1,0.6269386690908056,0,0.3930520948013507
0,0,0.43294550580606206,0,0.1874418109976669
0,1,0.5906300694120075,1,0.16758374006961782
1,0,0.5490160320736416,1,0.20338653932660267
1,1,0.6548648930994102,0,0.42884802821410195
0,0,0.38741845309722756,0,0.1500930578002487
0,1,0.5549628079110888,1,0.19805810234238247
1,0,0.5105838514781935,1,0.23952816643391894
1,1,0.6238160175772712,0,0.38914642378596637
0,0,0.43485993514037735,0,0.1891031631902932
0,1,0.5920455226968206,1,0.16642685555171027
1,0,0.5505442951237146,1,0.20201043064583854
1,1,0.6560829055880624,0,0.4304447790048744
0,0,0.3832080444842718,0,0.14684840535745963
0,1,0.5513976743793572,1,0.20124404655224926
1,0,0.5067868134446905,1,0.24325924739204258
1,1,0.6206413845467539,0,0.3851957282121116
0,0,0.4365130032622339,0,0.19054360201701503
0,1,0.5932349134233802,1,0.16545783565768502
1,0,0.5518316929929542,1,0.20085483140556165
1,1,0.6570991722396501,0,0.43177932215803333
0,0,0.37898237072051605,0,0.14362763731694267
0,1,0.547796027666077,1,0.20448843259457936
1,0,0.5029541752106843,1,0.2470545519404911
1,1,0.6174284786783855,0,0.38121792628310547
0,0,0.4378991493384478,0,0.19175566499133623
0,1,0.5941947619185032,1,0.16467789125438032
1,0,0.5528743701013051,1,0.19992132891230466
1,1,0.6579108539821953,0,0.4328466917875815
0,0,0.3747602858579034,0,0.14044527185629746
0,1,0.5441736232120256,1,0.20777768577565245
1,0,0.49910280653416644,1,0.25089799842194865
1,1,0.6141911925009333,0,0.3772308209457186
0,0,0.4390139511338481,0,0.19273324929015279
0,1,0.5949224503645151,1,0.16408782121868876
1,0,0.5536694170489378,1,0.19921098927743502
1,1,0.6585158403509898,0,0.43364311199317024
0,0,0.37056052272172957,0,0.13731510099980146
0,1,0.5405463104572845,1,0.21109769283441399
1,0,0.49524964195614934,1,0.25477292394539536
1,1,0.6109435567181685,0,0.37325202949544595
0,0,0.2968820701949732,0,0.08813896360325299
0,1,0.48066277307314126,1,0.2697111552720796
1,0,0.43134516917879684,1,0.3233683166162912
1,1,0.5580286919532481,0,0.3113960210430531
0,0,0.3649639262235418,0,0.13319866744450284
0,1,0.5357267708374053,1,0.2155496313170632
1,0,0.49012894609497065,1,0.2599684916102253
1,1,0.606632270319266,0,0.36800271139270707
0,0,0.42740068079845167,0,0.18267134194697998
0,1,0.5852063799915245,1,0.1720537471997356
1,0,0.5432802304320282,1,0.20859294791422123
1,1,0.6499120941938286,0,0.4223857301794079
0,0,0.48892268559808055,0,0.23904539249243953
0,1,0.6331326135226534,1,0.1345916792607188
1,0,0.5950359159579317,1,0.16399590936403136
1,1,0.6915164608944566,0,0.47819501568799455
0,0,0.4201541368806491,0,0.17652949873792323
0,1,0.5792087553438832,1,0.17706527157924398
1,0,0.5368694110487288,1,0.21448994242235137
1,1,0.6446057589866195,0,0.4155165845187158
0,0,0.4929958141050863,0,0.2430448727251368
0,1,0.6361784709691806,1,0.1323661049863234
1,0,0.5983362652558117,1,0.16133375580864961
1,1,0.6941341813496978,0,0.48182226171801523
0,0,0.4128054655030739,0,0.17040835234920954
0,1,0.5730788487440679,1,0.18226166938969046
1,0,0.5303253918826172,1,0.22059423751021712
1,1,0.6391693141559603,0,0.40853741215860073
0,0,0.4966632660611272,0,0.24667439985450604
0,1,0.6388760825577982,1,0.1304104837488022
1,0,0.6012649231332486,1,0.15898966152393412
1,1,0.6964419047319467,0,0.4850313266666619
0,0,0.4053829783692426,0,0.1643353591515178
0,1,0.5668385697555706,1,0.1876288246513997
1,0,0.5236720364470223,1,0.22688832886252683
1,1,0.6336214644607839,0,0.4014761602254285
0,0,0.4999148817528191,0,0.24991488899793513
0,1,0.6412195424513307,1,0.12872341671883247
1,0,0.6038151355448946,1,0.1569624468233102
1,1,0.6984350497215314,0,0.487811518679518
0,0,0.39791510582633344,0,0.15833643144478213
0,1,0.5605103011733585,1,0.19315119537473202
1,0,0.5169336456917613,1,0.23335310266465284
1,1,0.6279814304273138,0,0.39436067696153515
0,0,0.5027419879846433,0,0.25274950648275124
0,1,0.6432039119974775,1,0.12730344841390379
1,0,0.6059812517323407,1,0.15525077398641304
1,1,0.7001097927990895,0,0.49015372197318396
0,0,0.39043029366104465,0,0.15243581420824956
0,1,0.5541168403784701,1,0.19881179203407873
1,0,0.5101348882243562,1,0.23996782773496403
1,1,0.6222689079856949,0,0.3872185938457092
0,0,0.5051373661364504,0,0.25516375866727037
0,1,0.6448251806928738,1,0.12614915226984977
1,0,0.607758685054507,1,0.1538532491501694
1,1,0.7014630310730924,0,0.49205038396225015
0,0,0.38295690247832004,0,0.14665598915578953
0,1,0.5476813379116302,1,0.20459217207341285
1,0,0.5033007283034063,1,0.24671016650392658
1,1,0.6165040246746362,0,0.3800772124400244
0,0,0.5070952190253749,0,0.25714556115839293
0,1,0.6460802312001067,1,0.12525920274736993
1,0,0.6091438771898207,1,0.152768508738206
1,1,0.702492350007883,0,0.493495501819598
0,0,0.3755231105133813,0,0.14101760652964518
0,1,0.541227233708303,1,0.2104724510909361
1,0,0.4964563521311421,1,0.2535562053090764
1,1,0.610707292689689,0,0.3729633973443695
0,0,0.5086111380997324,0,0.258685289799105
0,1,0.6469668094871157,1,0.12463243360370645
1,0,0.6101342668704685,1,0.15199528986862712
1,1,0.7031959969512409,0,0.4944846101282496
0,0,0.3681568205455901,0,0.13553944451423786
0,1,0.534778191371095,1,0.21643133122394956
1,0,0.4896270928952224,1,0.26048050430658193
1,1,0.6048995589999668,0,0.36590347647835436
0,0,0.20723434821629735,0,0.04294607508063358
0,1,0.39918644924715146,1,0.3609769227682456
1,0,0.34615235785902904,1,0.4275167391333072
1,1,0.48334565127583656,0,0.23362301860726262
0,0,0.35474704196782636,0,0.12584546378492276
0,1,0.5231589850899936,1,0.22737735350040494
1,0,0.47731347916031325,1,0.27320119906749624
1,1,0.5944644321749464,0,0.3533879611210814
0,0,0.48161996581178174,0,0.2319577914685418
0,1,0.6248851019341141,1,0.14071118675098
1,0,0.586412197603521,1,0.17105487029114894
1,1,0.6837847344774367,0,0.46756156310437863
0,0,0.5952965237359232,0,0.3543779511720746
0,1,0.7125333276889021,1,0.08263708768961614
1,0,0.6814617181346859,1,0.10146663701370628
1,1,0.7594842687061688,0,0.5768163544121441
0,0,0.4708990772531446,0,0.22174594095786307
0,1,0.616105473771053,1,0.14737500726854771
1,0,0.5770015619988474,1,0.1789276785514149
1,1,0.6760448095522693,0,0.45703658452256407
0,0,0.6011846403448332,0,0.3614229717865465
0,1,0.7168002127282954,1,0.08020211951073873
1,0,0.6861355403950349,1,0.09851089900311678
1,1,0.7630967068729169,0,0.5823165840402904
0,0,0.4600639486558522,0,0.2116588368528146
0,1,0.6071529832434649,1,0.15432877857450938
1,0,0.5674223846808654,1,0.18712339327518923
1,1,0.6681279606844993,0,0.44639497184842786
0,0,0.6065755194447615,0,0.36793386078968227
0,1,0.7206554550940152,1,0.07803337476873176
1,0,0.6903672445088758,1,0.09587244327302633
1,1,0.7663466473788401,0,0.5872871839487882
0,0,0.4491457059060116,0,0.20173186513380947
0,1,0.5980499319178902,1,0.16156385723121267
1,0,0.5576994886953788,1,0.19562974230032937
1,1,0.6600524001256234,0,0.435669170911596
0,0,0.6114626917100271,0,0.37388662335327166
0,1,0.7240970788015894,1,0.07612242192581639
1,0,0.6941540212424967,1,0.09354176272213516
1,1,0.7692332480892076,0,0.5917197899658724
0,0,0.43817540676284866,0,0.19199768709178788
0,1,0.5888191068034022,1,0.16906972692995195
1,0,0.5478581165648878,1,0.20443228275625058
1,1,0.6518368984416982,0,0.42489134217009283
0,0,0.6158410109266996,0,0.37926015073921937
0,1,0.7271237121128484,1,0.07446146849107162
1,0,0.6974938251627113,1,0.09150998581468828
1,1,0.7717560372460023,0,0.5956073810256528
0,0,0.4271838997697639,0,0.18248608422250368
0,1,0.5794837008148284,1,0.17683395788039277
1,0,0.5379238363619941,1,0.21351438100241715
1,1,0.6435007299015767,0,0.41409318938386197
0,0,0.6197065279182052,0,0.3840361807444373
0,1,0.7297344836790036,1,0.07304344931225476
1,0,0.7003852637091424,1,0.08976899020264012
1,1,0.7739148231996841,0,0.5989441535681983
0,0,0.41620169314490846,0,0.17322384937668853
0,1,0.5700672340735907,1,0.18484218321713264
1,0,0.527922449809856,1,0.2228572133935279
1,1,0.6350636172548977,0,0.4033057979608752
0,0,0.6230563652967094,0,0.3881992343367466
0,1,0.7319289246979223,1,0.07186210141361224
1,0,0.7028274918173882,1,0.08831149961954446
1,1,0.7757096104635534,0,0.6017253997655176
0,0,0.4052588355488146,0,0.16423472379038115
0,1,0.5605934775575766,1,0.19307809196494394
1,0,0.5178799039866735,1,0.23243978697989917
1,1,0.6265456772005538,0,0.3925594856187005
0,0,0.625888596094415,0,0.3917365347210378
0,1,0.7337068788283365,1,0.07091202638334625
1,0,0.7048201141089819,1,0.08713116503463444
1,1,0.7771405234170559,0,0.6039473931369356
0,0,0.3943848102573429,0,0.15553937856172037
0,1,0.5510863804777961,1,0.20152343779252602
1,0,0.5078222080410425,1,0.24223897889759485
1,1,0.6179673677671503,0,0.38188366762506043
0,0,0.6282021290439267,0,0.3946379149353223
0,1,0.7350684214029465,1,0.07018874133792674
1,0,0.7063630964363019,1,0.08622263113447654
1,1,0.7782077388316977,0,0.6056072847775438
0,0,0.38360844389354226,0,0.14715543822642496
0,1,0.5415700026025185,1,0.21015806251385485
1,0,0.49777535613670615,1,0.2522295929036123
1,1,0.6093494387213244,0,0.37130673846999307
0,0,0.6299966029456594,0,0.3968957197230708
0,1,0.7360137892711415,1,0.0696887194549813
1,0,0.7074566883253146,1,0.08558158920559211
1,1,0.7789114282381542,0,0.6067030130400012
0,0,0.37295783049893605,0,0.1390975433304731
0,1,0.532068452570454,1,0.21895993307980946
1,0,0.4877652576408393,1,0.2623844312797557
1,1,0.6007128859873689,0,0.36085597139127373
0,0,0.04016011796489728,0,0.0016128350749544653
0,1,0.23849509650458836,1,0.5798897180475563
1,0,0.18087768450847527,1,0.670961367736197
1,1,0.33199300618729394,0,0.11021935615727659
0,0,0.3439876257712778,0,0.11832748668376065
0,1,0.5066863144722399,1,0.2433583923289818
1,0,0.4609733549370996,1,0.290549724087766
1,1,0.5777667985884786,0,0.33381447355117955
0,0,0.5799717769578389,0,0.3363672620676332
0,1,0.6963239194682613,1,0.09221916188711902
1,0,0.6644958901344975,1,0.11256300773664317
1,1,0.7443984473659401,0,0.5541290484408222
0,0,0.7513868634048263,0,0.5645822184973431
0,1,0.8251762944169728,1,0.03056332803378097
1,0,0.8054005724343254,1,0.03786893720888824
1,1,0.8544878726693951,0,0.7301495245390683
0,0,0.5693088117389193,0,0.3241125231235803
0,1,0.6877572180771229,1,0.0974955548629374
1,0,0.6552709218902809,1,0.11883813729437681
1,1,0.7368932946484846,0,0.5430117276978984
0,0,0.7570756849924617,0,0.5731635928068051
0,1,0.8291678513866673,1,0.0291836229998478
1,0,0.8098329367539808,1,0.03616351194361546
1,1,0.8578105078876899,0,0.7358388674425365
0,0,0.5585905122392067,0,0.3120233603636594
0,1,0.6790766833444813,1,0.1029917751731783
1,0,0.6459407015563802,1,0.12535798681438826
1,1,0.7292649002862271,0,0.5318272947894809
0,0,0.7624344748889416,0,0.5813063284991761
0,1,0.8329018369185623,1,0.027921796105190733
1,0,0.8139854720998564,1,0.03460140458991331
1,1,0.8609105644671463,0,0.7411670000111404
0,0,0.5478345475994878,0,0.30012269154353544
0,1,0.6702940734265073,1,0.10870599801768538
1,0,0.6365185974071107,1,0.13211873003089408
