in1,in2,out1,targ1,cost
0,0,-0.07370515605135955,0,0.005432450028555263
0,1,-0.09073184972498004,1,1.1896959680044765
1,0,-0.02171224777061922,1,1.0438959172444915
1,1,-0.04219182265582126,0,0.0017801498990202723
0,0,-0.01097614971518782,0,0.00012047586257021766
0,1,-0.028036983199842633,1,1.0568600388266334
1,0,0.038094454575475986,1,0.925262278318451
1,1,0.017578273315883738,0,0.00030899569276791026
0,0,0.13379712538635427,0,0.017901670761651806
0,1,0.11718055971886703,1,0.779370164138293
1,0,0.17900340070773174,1,0.6740354160494694
1,1,0.15915330261563865,0,0.025329773733465052
0,0,-0.07352197933284167,0,0.005405481445018798
0,1,-0.09035753528787324,1,1.1888795547590456
1,0,-0.025147601985434767,1,1.0509276058564876
1,1,-0.045543877865042354,0,0.002074244810985895
0,0,0.209305346044814,0,0.04380872788293933
0,1,0.1933084268568321,1,0.650751294180199
1,0,0.25240329107857445,1,0.5589008391901465
1,1,0.23336752847461387,0,0.05446040334634972
0,0,-0.12955551210457342,0,0.01678463071667827
0,1,-0.14594134885610915,1,1.313181575018159
1,0,-0.08278688317077078,1,1.1724274343666723
1,1,-0.1028016458411288,0,0.010568178387644876
0,0,0.28356228908309317,0,0.0804075717900437
0,1,0.26849654009169355,1,0.5350973118578233
1,0,0.3236556379974991,1,0.45744169601257
1,1,0.3057533585800775,0,0.09348511628299747
0,0,-0.178657746606274,0,0.031918590422431614
0,1,-0.19440459893573867,1,1.4266023459588426
1,0,-0.1341986674900507,1,1.2864066173362063
1,1,-0.1536038539687769,0,0.023594143954061342
0,0,0.3549951833609175,0,0.12602158020945145
0,1,0.3411292141176452,1,0.43411071248923183
1,0,0.39142654508441466,1,0.370361650027892
1,1,0.37492505170119833,0,0.14056879439314623
0,0,-0.2209522018558816,0,0.04881987550496225
0,1,-0.23589597860699998,1,1.5274388699369543
1,0,-0.17929566171116265,1,1.3907382577307692
1,1,-0.19788912226876829,0,0.03916010471230352
0,0,0.42254597829448026,0,0.1785451037728394
0,1,0.41009314553774123,1,0.3479900969415565
1,0,0.45492161775584006,1,0.29711044278991056
1,1,0.44002878532348993,0,0.193625331913266
0,0,-0.2569483907681466,0,0.06602247551834015
0,1,-0.27093884409930474,1,1.615285545440477
1,0,-0.21839998080933407,1,1.4844985132361854
1,1,-0.23599550275129788,0,0.05569387731883785
0,0,0.4856215240384956,0,0.23582826460947118
0,1,0.474734156961345,1,0.27590420586310893
1,0,0.513796102631177,1,0.23639422981663294
1,1,0.5006586254759703,0,0.25065905926348786
0,0,-0.2873750570191354,0,0.08258442339675133
0,1,-0.3002662937641223,1,1.6906924346990868
1,0,-0.2520881158154589,1,1.567724649766306
1,1,-0.26850652322289764,0,0.07209575301324847
0,0,0.5439781281307448,0,0.29591220388462897
0,1,0.5347462668395239,1,0.21646103621975954
1,0,0.5680154015991409,1,0.18661069325555155
1,1,0.556719854429024,0,0.3099369963154737
0,0,0.9127053527360048,0,0.833031060912955
0,1,0.9104967442651993,1,0.008010832787129128
1,0,0.9182899540386252,1,0.006676531611009976
1,1,0.9156475252608944,0,0.8384103905164003
0,0,0.9856624495548488,0,0.9715304644624649
0,1,0.9852821246746862,1,0.00021661585409147983
1,0,0.9866165095118046,1,0.00017911781764761746
1,1,0.9861642819833961,0,0.9725199910598272
0,0,0.9976910181340127,0,0.9953873676652829
0,1,0.9976292783902959,1,5.620320950717928E-06
1,0,0.9978456793232938,1,4.641097578083766E-06
1,1,0.9977723473999146,0,0.9955496572359359
0,0,0.9996286694931189,0,0.9992574768725832
0,1,0.9996187276914557,1,1.4536857326273405E-07
1,0,0.9996535685761962,1,1.2001473139869363E-07
1,1,0.9996417622132632,0,0.9992836527608382
0,0,0.9999402038865819,0,0.999880411348739
0,1,0.9999386026056687,1,3.769640030674183E-09
1,0,0.9999442141229345,1,3.1120640799615767E-09
1,1,0.9999423125800422,0,0.9998846284879228
0,0,0.9999903540972029,0,0.9999807082874493
0,1,0.9999900957808171,1,9.809355762290606E-11
1,0,0.9999910010191012,1,8.098165721676787E-11
1,1,0.9999906942662893,0,0.9999813886191753
0,0,0.9999984411675872,0,0.9999968823376043
0,1,0.9999983994219744,1,2.561850015913068E-12
