in1,in2,out1,targ1,cost
0,1,0.1967970850516697,1,0.6451349225814947
1,0,0.515785724083456,1,0.234463465001383
1,1,0.49844198952903823,0,0.24844441692566585
0,0,-0.7815629394286869,0,0.6108406282884093
0,1,-0.7539368046353694,1,3.07629431465453
1,0,-0.5461085319387864,1,2.390451592533909
1,1,-0.5632551348204233,0,0.3172563469015733
0,0,0.16619852386156383,0,0.027621949333762802
0,1,0.23189474669501248,1,0.589985680154719
1,0,0.5470126802992403,1,0.20519751180967824
1,1,0.5287173796660071,0,0.2795420675608887
0,0,-0.7891574562730799,0,0.622769490791398
0,1,-0.7624206210941225,1,3.106126445657792
1,0,-0.5551321392361297,1,2.4184359704851413
1,1,-0.5736535740285604,0,0.3290784229957411
0,0,0.20057324853320235,0,0.04022962802716176
0,1,0.2650913583922425,1,0.5400907115097593
1,0,0.57590067922851,1,0.1798602338788392
1,1,0.5569096936216557,0,0.31014840684976636
0,0,-0.7959542212008447,0,0.6335431222474432
0,1,-0.7699940359352733,1,3.1328788872464375
1,0,-0.5628976047419321,1,2.4426489229080683
1,1,-0.5826405077436696,0,0.33946996126380113
0,0,0.23306394929627716,0,0.05431880446157765
0,1,0.29639835654306024,1,0.4950552726753066
1,0,0.6025949316590136,1,0.1579307883431041
1,1,0.5831467152473908,0,0.3400600915038215
0,0,-0.8021184173487386,0,0.6433939554500452
0,1,-0.7768349951526488,1,3.1571425999991134
1,0,-0.5696224272862174,1,2.4637145642398766
1,1,-0.5904352366544124,0,0.348613768683152
0,0,0.2636199776483353,0,0.0694954926153088
0,1,0.3258040045626548,1,0.4545402402637528
1,0,0.627222310210863,1,0.13896320600452602
1,1,0.6075350270180334,0,0.3690988090538026
0,0,-0.8078113858511861,0,0.6525592351108138
0,1,-0.7831160169766611,1,3.1795027299987124
1,0,-0.5755251932148908,1,2.482279634454819
1,1,-0.597255252875054,0,0.3567138370868447
0,0,0.29215562690387287,0,0.08535491033159497
0,1,0.35326584411019946,1,0.41826506839449284
1,0,0.64988783446398,1,0.12257852845632146
1,1,0.6301578091545992,0,0.39709886443852427
0,0,-0.8131949135586725,0,0.6612859674376967
0,1,-0.789008537866506,1,3.2005515485592535
1,0,-0.5808317797484902,1,2.4990291158627786
1,1,-0.6033216496202239,0,0.36399701290046826
0,0,0.31854256691211097,0,0.1014693669349567
0,1,0.3787050234924396,1,0.38600744783353
1,0,0.6706730040183922,1,0.10845627028226988
1,1,0.6510741508857333,0,0.4238975499515786
0,0,-0.8184334230160063,0,0.6698332679096971
0,1,-0.7946853738124735,1,3.2208955909764176
1,0,-0.5857797677165983,1,2.5146974716993085
1,1,-0.6088631550466358,0,0.37071434157334365
0,0,0.3426102652206361,0,0.1173817938345546
0,1,0.40200718227824717,1,0.3575954100468015
1,0,0.6896378159737298,1,0.09632468527355643
1,1,0.6703216190150982,0,0.4493310729190225
0,0,0.9546956583303525,0,0.9114438000348252
0,1,0.9604421514208341,1,0.0015648233842122166
1,0,0.9827807881187424,1,0.00029650125781164406
1,1,0.9815442793025068,0,0.9634291722314774
0,0,0.9977675299208087,0,0.995540043764272
0,1,0.9980561541900279,1,3.7785365329460467E-06
1,0,0.9991629776591655,1,7.006063990560531E-07
1,1,0.9991023481157969,0,0.9982055020104991
0,0,0.9998917948989627,0,0.9997836015062693
0,1,0.9999057971723372,1,8.874172739669995E-09
1,0,0.9999594576645552,1,1.64368096331993E-09
1,1,0.9999565197365942,0,0.9999130413637216
0,0,0.9999947445533242,0,0.999989489134268
