in1,in2,out1,targ1,cost
0,0,0.05861499134525296,0,0.0034357172104040796
0,1,0.22133782057881174,1,0.6063147896609549
1,0,0.22259405716714362,1,0.6043599999518423
1,1,0.34818114929721555,0,0.1212301127259299
0,0,0.08995964631210059,0,0.008092737964598232
0,1,0.2540044490251386,1,0.5565093620742871
1,0,0.2553757073535588,1,0.554465337199213
1,1,0.3802781859474637,0,0.1446114987074938
0,0,0.16133760995888086,0,0.026029824387243973
0,1,0.3232087543930025,1,0.45804639013027126
1,0,0.32464054807742465,1,0.45611038930116143
1,1,0.44480018445560826,0,0.19784720409174314
0,0,0.05869272594974611,0,0.003444836079412
0,1,0.22469622270340547,1,0.6010959470903674
1,0,0.22611724614604087,1,0.5988945167125874
1,1,0.35361813465917935,0,0.1250457851598375
0,0,0.19868839811057254,0,0.039477079543745366
0,1,0.35777849422859953,1,0.412448462475285
1,0,0.3592112177451668,1,0.4106102634636321
1,1,0.47593005753951434,0,0.22650941966956542
0,0,0.02958170352362187,0,0.0008750771833594625
0,1,0.19748419334871808,1,0.6440316199251576
1,0,0.19897971638184492,1,0.6416334947677095
1,1,0.32893833032267566,0,0.1082004251554697
0,0,0.2366064501416938,0,0.05598261224865383
0,1,0.39269000523021563,1,0.36882542974727556
1,0,0.3941409977761041,1,0.3670651305757347
1,1,0.5072424535775618,0,0.25729490671138494
0,0,0.0027150546730330435,0,7.371521877558567E-06
0,1,0.1725085756630189,1,0.6847420573512457
1,0,0.17410341514757918,1,0.6821051688708919
1,1,0.3064129346891951,0,0.09388888654484495
0,0,0.2747548628438645,0,0.07549023465635081
0,1,0.42759483738225323,1,0.32764767019144914
1,0,0.4290781999804338,1,0.3259517017375815
1,1,0.5383964018684162,0,0.2898706855448571
0,0,-0.02188606156488666,0,0.0004789996908220091
0,1,0.149838009257899,1,0.7227754105025722
1,0,0.1515565385729173,1,0.7198563072383696
1,1,0.2861440928176294,0,0.08187844185442412
0,0,0.31281931440788624,0,0.09785592346661999
0,1,0.4621759467641816,1,0.2892547122390044
1,0,0.4637023102525292,1,0.28761521202847434
1,1,0.569088018606874,0,0.32386117292189776
0,0,-0.04426317411460833,0,0.0019592285827001333
0,1,0.12947235383963457,1,0.7578183827295065
1,0,0.13133809888992445,1,0.7545734984401707
1,1,0.26816295309225613,0,0.07191136941115957
0,0,0.3505184839994213,0,0.12286320762525257
0,1,0.496156783993222,1,0.25385798631605283
1,0,0.49773323912997447,1,0.2522718990748674
1,1,0.5990581372148557,0,0.3588706517633329
0,0,-0.06451249623804266,0,0.004161862170863468
0,1,0.11134957505836368,1,0.7896995777489507
1,0,0.1133849303618917,1,0.7860862817093877
1,1,0.25243525998828853,0,0.06372356048535482
0,0,0.3876099031342559,0,0.15024143700774725
0,1,0.529305609974251,1,0.2215532088017119
1,0,0.5309357925660144,1,0.22002123069567306
1,1,0.6280952041146967,0,0.39450358543188246
0,0,-0.08277493214073196,0,0.006851689390902782
0,1,0.09535531720158634,1,0.8183820021154425
1,0,0.09758136894853822,1,0.8143593856687944
1,1,0.23887017176189984,0,0.05705895895755953
0,0,0.42389177198405353,0,0.17968423435578082
0,1,0.5614358208298758,1,0.19233853925116484
1,0,0.5631201313396265,1,0.19086401964070523
1,1,0.656034376815571,0,0.43038110356379455
0,0,0.7634386346214814,0,0.5828385488327118
0,1,0.8300651009291621,1,0.02887786992221587
1,0,0.8308325985345703,1,0.028617609718565883
1,1,0.8717376293311183,0,0.7599264943918382
0,0,0.9123993580941748,0,0.8324725886506623
0,1,0.9385735941801846,1,0.0037732033319406513
1,0,0.9388628183315352,1,0.0037377549823628714
1,1,0.954319212263013,0,0.9107251588942976
0,0,0.9684862119731458,0,0.9379655427820931
0,1,0.9780976034115316,1,0.00047971497631855113
1,0,0.9782018668316563,1,0.0004751586096248444
1,1,0.9837976934077259,0,0.9678579015543619
0,0,0.9887511580505963,0,0.9776288525463953
0,1,0.9922067596462414,1,6.0734595211451664E-05
1,0,0.9922439813502625,1,6.015582529507618E-05
1,1,0.9942457080462179,0,0.9885245279683252
0,0,0.9959920385233052,0,0.9920001408018091
0,1,0.9972264111828087,1,7.692794926848371E-06
1,0,0.9972396728275725,1,7.619406098841421E-06
1,1,0.9979534225768861,0,0.9959110336329211
0,0,0.9985718825559289,0,0.9971458046312918
0,1,0.9990121125223911,1,9.759216684165095E-07
1,0,0.9990168378091601,1,9.666078934971843E-07
1,1,0.999271228553565,0,0.9985429882149511
0,0,0.9994907815182562,0,0.9989818223399746
0,1,0.9996478031924638,1,1.240425912386741E-07
1,0,0.999649488054886,1,1.2285862366762804E-07
1,1,0.9997402037340789,0,0.9994804749622576
0,0,0.9998182644852114,0,0.9996365619982202
0,1,0.9998743105390129,1,1.57978406032332E-08
1,0,0.9998749118492818,1,1.56470454501019E-08
1,1,0.9999072885458075,0,0.9998145856870286
0,0,0.9999350761458137,0,0.9998701565067342
0,1,0.9999550990598869,1,2.0160944230413467E-09
1,0,0.9999553138738853,1,1.996849867142963E-09
1,1,0.9999668803803113,0,0.9999337618575319
0,0,0.9999767828349149,0,0.9999535662088664
0,1,0.9999839432552723,1,2.578190512508576E-10
1,0,0.9999840200740312,1,2.5535803396835845E-10
1,1,0.9999881563446844,0,0.999976312829641
0,0,0.9999916889036301,0,0.9999833778763345
0,1,0.9999942521474146,1,3.303780934403065E-11
1,0,0.9999942796463795,1,3.2722445543030767E-11
1,1,0.9999957603179516,0,0.9999915206538781
0,0,0.9999970218075739,0,0.9999940436240174
0,1,0.9999979403202625,1,4.242280621244089E-12
1,0,0.9999979501742217,1,4.201785721541306E-12
1,1,0.9999984807573201,0,0.9999969615169484
0,0,0.9999989317015554,0,0.9999978634042521
0,1,0.9999992611786986,1,5.458569153438479E-13
1,0,0.9999992647133827,1,5.406464095207889E-13
1,1,0.9999994550372866,0,0.9999989100748702
0,0,0.9999996164008911,0,0.9999992328019293
0,1,0.9999997347078765,1,7.037991078655305E-14
1,0,0.9999997359770927,1,6.970809558693505E-14
1,1,0.9999998043176258,0,0.9999996086352899
0,0,0.999999862118068,0,0.999999724236155
0,1,0.999999904642664,1,9.093021534240707E-15
1,0,0.9999999050988745,1,9.006223623744283E-15
1,1,0.9999999296633868,0,0.9999998593267786
0,0,0.9999999503885995,0,0.9999999007772014
0,1,0.9999999656894065,1,1.1772168247762913E-15
1,0,0.9999999658535561,1,1.1659796306508853E-15
1,1,0.9999999746921314,0,0.9999999493842635
0,0,0.9999999821310293,0,0.9999999642620588
0,1,0.9999999876420544,1,1.527188183592073E-16
1,0,0.9999999877011777,1,1.5126102981745604E-16
1,1,0.9999999908846445,0,0.9999999817692892
0,0,0.9999999935574018,0,0.9999999871148035
0,1,0.9999999955443835,1,1.985251877279286E-17
1,0,0.9999999955657002,1,1.966301486017313E-17
1,1,0.9999999967134885,0,0.999999993426977
0,0,0.9999999976747714,0,0.9999999953495429
0,1,0.9999999983919026,1,2.5859773539967294E-18
1,0,0.9999999983995962,1,2.5612923533864046E-18
1,1,0.9999999988138498,0,0.9999999976276996
0,0,0.9999999991599352,0,0.9999999983198704
0,1,0.9999999994190222,1,3.3753522896705935E-19
1,0,0.9999999994218017,1,3.343132360112404E-19
1,1,0.9999999995714645,0,0.9999999991429289
0,0,0.9999999996961899,0,0.9999999993923798
0,1,0.9999999997898891,1,4.4146602340534586E-20
1,0,0.9999999997908943,1,4.372520746019151E-20
1,1,0.9999999998450197,0,0.9999999996900395
0,0,0.9999999998900152,0,0.9999999997800304
0,1,0.9999999999239358,1,5.7857556720046876E-21
1,0,0.9999999999243,1,5.730490275934677E-21
1,1,0.9999999999438943,0,0.9999999998877886
0,0,0.9999999999601429,0,0.9999999999202858
0,1,0.9999999999724356,1,7.597958833365379E-22
1,0,0.9999999999725672,1,7.525603693311616E-22
1,1,0.9999999999796678,0,0.9999999999593356
0,0,0.9999999999855416,0,0.9999999999710831
0,1,0.9999999999900008,1,9.998447402841572E-23
1,0,0.9999999999900486,1,9.902982575790086E-23
1,1,0.9999999999926246,0,0.9999999999852491
0,0,0.99999999999475,0,0.9999999999895
0,1,0.999999999996369,1,1.31840477278329E-23
1,0,0.9999999999963866,1,1.3056969434357555E-23
1,1,0.9999999999973218,0,0.9999999999946436
0,0,0.9999999999980916,0,0.9999999999961833
0,1,0.9999999999986802,1,1.7419594954654174E-24
1,0,0.9999999999986864,1,1.7255866873775553E-24
1,1,0.9999999999990263,0,0.9999999999980527
0,0,0.9999999999993056,0,0.9999999999986111
0,1,0.9999999999995197,1,2.3067126102993525E-25
1,0,0.9999999999995219,1,2.2854330873810157E-25
1,1,0.9999999999996457,0,0.9999999999992915
0,0,0.999999999999747,0,0.999999999999494
0,1,0.9999999999998251,1,3.0576063797091756E-26
1,0,0.9999999999998258,1,3.0343547045277863E-26
1,1,0.9999999999998711,0,0.9999999999997422
0,0,0.9999999999999076,0,0.9999999999998153
0,1,0.9999999999999362,1,4.075267762323391E-27
1,0,0.9999999999999366,1,4.018765599986936E-27
1,1,0.9999999999999528,0,0.9999999999999056
0,0,0.9999999999999664,0,0.9999999999999327
0,1,0.9999999999999767,1,5.4357446750385345E-28
1,0,0.9999999999999768,1,5.384098937649846E-28
1,1,0.9999999999999828,0,0.9999999999999656
0,0,0.9999999999999878,0,0.9999999999999756
0,1,0.9999999999999915,1,7.30805672977403E-29
1,0,0.9999999999999916,1,7.119469669619632E-29
1,1,0.9999999999999938,0,0.9999999999999876
0,0,0.9999999999999954,0,0.9999999999999909
0,1,0.9999999999999968,1,1.0366125332669858E-29
1,0,0.9999999999999968,1,1.0366125332669858E-29
1,1,0.9999999999999978,0,0.9999999999999956
0,0,0.9999999999999983,0,0.9999999999999967
0,1,0.9999999999999989,1,1.232595164407831E-30
1,0,0.9999999999999989,1,1.232595164407831E-30
1,1,0.9999999999999991,0,0.9999999999999982
0,0,0.9999999999999994,0,0.9999999999999989
0,1,0.9999999999999996,1,1.9721522630525295E-31
1,0,0.9999999999999996,1,1.9721522630525295E-31
1,1,0.9999999999999997,0,0.9999999999999993
0,0,0.9999999999999997,0,0.9999999999999993
0,1,0.9999999999999998,1,4.930380657631324E-32
1,0,0.9999999999999998,1,4.930380657631324E-32
1,1,0.9999999999999998,0,0.9999999999999996
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,0.9999999999999997,0,0.9999999999999993
0,1,0.9999999999999998,1,4.930380657631324E-32
1,0,0.9999999999999998,1,4.930380657631324E-32
1,1,0.9999999999999998,0,0.9999999999999996
0,0,0.9999999999999994,0,0.9999999999999989
0,1,0.9999999999999996,1,1.9721522630525295E-31
1,0,0.9999999999999996,1,1.9721522630525295E-31
1,1,0.9999999999999997,0,0.9999999999999993
0,0,0.9999999999999983,0,0.9999999999999967
0,1,0.9999999999999989,1,1.232595164407831E-30
1,0,0.9999999999999989,1,1.232595164407831E-30
1,1,0.9999999999999991,0,0.9999999999999982
0,0,0.9999999999999994,0,0.9999999999999989
0,1,0.9999999999999996,1,1.9721522630525295E-31
1,0,0.9999999999999996,1,1.9721522630525295E-31
1,1,0.9999999999999997,0,0.9999999999999993
0,0,0.9999999999999997,0,0.9999999999999993
0,1,0.9999999999999998,1,4.930380657631324E-32
1,0,0.9999999999999998,1,4.930380657631324E-32
1,1,0.9999999999999998,0,0.9999999999999996
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,0.9999999999999997,0,0.9999999999999993
0,1,0.9999999999999998,1,4.930380657631324E-32
1,0,0.9999999999999998,1,4.930380657631324E-32
1,1,0.9999999999999998,0,0.9999999999999996
0,0,0.9999999999999994,0,0.9999999999999989
0,1,0.9999999999999996,1,1.9721522630525295E-31
1,0,0.9999999999999996,1,1.9721522630525295E-31
1,1,0.9999999999999997,0,0.9999999999999993
0,0,0.9999999999999983,0,0.9999999999999967
0,1,0.9999999999999989,1,1.232595164407831E-30
1,0,0.999999999999999,1,9.98402083170343E-31
1,1,0.9999999999999991,0,0.9999999999999982
0,0,0.9999999999999994,0,0.9999999999999989
0,1,0.9999999999999996,1,1.9721522630525295E-31
1,0,0.9999999999999996,1,1.9721522630525295E-31
